3TeV 152093 0.1507
4TeV 151076 0.03617
5TeV 149820 0.01158
TTflat 2873776 864.4
TTMjj 2334071 0.523242 
QCDMjj 3802314 99.19 
QCDFlat 7358392 2207000000
